loc_id,mktcode_id,unique_mktcode_name,mktcode_name,fg_id,fg_name,catalog_id,catalog_code,catalog_name,can_be_sold,category_id,category_name,active,date,qty
4571,6250,130MT7:Safegloss Liner,130 MT7,4254,FG7M0001,10,CAT0005,Safegloss Liner,1,56,0.72 M1 MT/SF,1,2021-10-30,11
4571,5268,8583HZTWEA:Safedecor Safari,8583 HZT WEA,5375,FGB0533,6,CAT0002,Safedecor Safari,1,66,0.8 TEX,1,2021-10-30,6
4571,502,10055UG+:Safedecor 1.0mm Master,10055 UG+,3862,FGA0167,4,CAT0001,Safedecor 1.0mm Master,1,108,1.0 UG+/SG+,1,2021-10-30,12
4571,8049,11392UG+:Safedecor 1.0mm Master,11392 UG+,20398,FGA0713,4,CAT0001,Safedecor 1.0mm Master,1,108,1.0 UG+/SG+,1,2021-10-30,1
4571,6269,131GL7:Safegloss Liner,131 GL7,4273,FG7M0020,10,CAT0005,Safegloss Liner,1,55,0.72 M1 GL,1,2021-10-30,15
4571,1038,8524TAN:Safedecor Safari,8524 TAN,3566,FGB0345,6,CAT0002,Safedecor Safari,1,66,0.8 TEX,1,2021-10-30,2
4571,967,8549VAT:Safedecor Safari,8549 VAT,3495,FGB0274,6,CAT0002,Safedecor Safari,1,66,0.8 TEX,1,2021-10-30,5
4571,995,8547SF:Safedecor Safari,8547 SF ,3523,FGB0302,6,CAT0002,Safedecor Safari,1,63,0.8 SF,1,2021-10-30,3
4571,551,11376UG+:Safedecor 1.0mm Master,11376 UG+,3911,FGA0216,4,CAT0001,Safedecor 1.0mm Master,1,108,1.0 UG+/SG+,1,2021-10-30,4
4571,1077,8556SLE:Safedecor Safari,8556 SLE,3282,FGB0061,6,CAT0002,Safedecor Safari,1,66,0.8 TEX,1,2021-10-30,1
4571,1058,8567HGS:Safedecor Safari,8567 HGS,3330,FGB0109,6,CAT0002,Safedecor Safari,1,60,0.8 HG,1,2021-10-30,1
4571,4796,HD17027UG+:SAFEDECOR DIGITAL,HD 17027 UG+,5202,FGA-HD0028,110,CAT0020,SAFEDECOR DIGITAL,1,102,1.0 HD (8X4),1,2021-10-30,1
4571,345,11356ASH:Safedecor 1.0mm Master,11356 ASH ,3705,FGA0010,4,CAT0001,Safedecor 1.0mm Master,1,93,1.0 TEX 1,1,2021-10-30,10
4571,6257,137MT7:Safegloss Liner,137 MT7,4261,FG7M0008,10,CAT0005,Safegloss Liner,1,57,0.72 M1 PR MT/GL,1,2021-10-30,1
4571,554,11379UG+:Safedecor 1.0mm Master,11379 UG+,3914,FGA0219,4,CAT0001,Safedecor 1.0mm Master,1,108,1.0 UG+/SG+,1,2021-10-30,3
4571,1114,8457SF:Safedecor Safari,8457 SF,3383,FGB0162,6,CAT0002,Safedecor Safari,1,63,0.8 SF,1,2021-10-30,1
4571,6270,135GL7:Safegloss Liner,135 GL7,4274,FG7M0021,10,CAT0005,Safegloss Liner,1,57,0.72 M1 PR MT/GL,1,2021-10-30,15
4571,966,8548VAT:Safedecor Safari,8548 VAT,3494,FGB0273,6,CAT0002,Safedecor Safari,1,66,0.8 TEX,1,2021-10-30,4
